SNO,Protocol Name,Protocol Number,Indication(s),Phases,Design Philosophy
42,Abdominal Wall Flap CTA,6.88/6.89/6.90,Evaluate abdominal wall vasculature for surgical planning for free flap. Note DIEP(a.k.a. Abdominal Wall Flap) evaluation is a separate protocol that is protocoled by body imaging.,CTA,A specialized protocol only used to map out the abdominal wall vasculature for breast reconstruction surgery.
43,Cystogram,8.10/8.11/8.12,"Bladder tumor, injury, rupture, fistula",Non- Con & contrast filled bladder,Specifically for the evaluation of bladder tumor
44,Body Pelvis,8.16/8.17/8.18,Evaluate for Pelvic pathology other than hypervascular tumors. Fournier’s Gangrene -Body Pelvis- extend through mid-femur,Portal Venous,This is a standard or routine examination of the pelvis meant to assess for pelvic pathologies that are not hypervascular.
45,Abd/Pelvis - R/O Hernia (Use routine Abd/Pelvis protocol),6.1/6.2/6.3,Standard CT of the abdomen and pelvis with the patient performing a Valsalva maneuver during the scan acquisition. This increases the likelihood of detecting hernia.,Portal Venous with valsalva,This protocol is intended for the evaluation of hernias. It asks the patient to perform a Valsalva maneuver during the scan to enhance the prominence of any hernia.
46,Abd/Pelvis- Upper GI (UGI) (Use Routine Abd/Pelvis protocol),6.1/6.2/6.3,"Rule out gastric or duodenal perforation. Two views/positions is optimal to evaluations for leak, and many of these patients are unable to lay prone, so please scan supine and right decub.",Supine and Right Decub,"This protocol can be used in lieu of a fluoroscopic UGI study when assessing for gastric or duodenal perforation. Many times, these patients are status post ulcer repair, and surgeons want to assess for any persistent signs of perforation."
47,Brain - Routine (Helical Mode),1.1,"Mental Status Change, Trauma, stroke, fall, Hemorrhage, hydrocephalus.",Without and/or With,For routine head imaging and emergent imaging. Used for perfectly positioned Head
48,Brain - Helical Scan with Angled Axial Reformations,1.2,"Mental Status Change, Trauma, stroke, fall, Hemorrhage, hydrocephalus.",Without and/or With,"Use this protocol when the head cannot be properly positioned for a routine helical head scan. Example: when you cannot move the patient's head into proper position (trauma, cervical collar, rigid neck"
49,Brain - Routine (Axial Mode),1.3,"Mental Status Change, Trauma, stroke, fall, Hemorrhage, hydrocephalus.",Without and/or With,"Only use axial mode when you cannot move the patient's head into proper position (trauma, cervical collar, rigid neck), and do not wish to perform a helical scan with angled axial reformats."
50,Brain-Single Shot Head,1.3,16 cm Single Shot Head used for patients who either can hold still or who cannot hold still that you can time the 1 second exposure around their movements. Can only be scanned on CT 2,One Axial 16 cm coverage(Without),"If the patient moves during the scan, do not use protocol again. If it needs to be repeated re-scan the patient with a helical protocol. Always check with Reading room before repeating."
51,Brain Post Thrombolysis Helical (GSI),1.4,"To be scanned within 24 hours of endovascular thrombolysis, evaluating for contrast staining versus hemorrhage. It is recommended to use GSI on any patient that has recently (within 8 hours) received IV contrast. Please be aware this is not a strict policy, solely a recommendation as contrast could obscure subtle hemorrhage.",Without,This protocol is for post thrombolysis patients who may have contrast staining or hemorrhage in the tissues of the brain - we use iodine overlays to visualize hemorrhage from Iodine.
52,"3D CT (Craniosynostosis, Congenital Facial Anomaly)",1.5,"Craniosynostosis, Cleft lip, Cleft Pal-ate, septooptic dysplasia",Without,"For those patients with osseous congenital abnormalities, bone focused exam."
53,Stroke Deluxe –Total Cerebrovascular,1.6,"For evaluation of stroke, mental status change, vascular trauma, aneurysm, dissection, arterial embolism, vasospasm, and atherosclerotic disease. Requires administration of IV contrast.","Without(Head Only), Angio(Head & Neck), Perfusion, 5min Post(Head Only)",Acute stroke exam or for patients who require comprehensive brain and neuro-vascular imaging
54,CTA Head Only,1.7,"For evaluation of intracranial stenosis, aneurysm, vascular malformation, unknown bleed, vasospasm.","Without(Head Only), Angio(Head & Neck), Optional: Perfusion, 5min Post(Head Only)","Similar to stroke deluxe, but omitting the neck coverage"
55,CT Venography Head & Neck,1.9,"This protocol consists of a slightly delayed phase of vascular imaging, for use in cases of suspected venous sinus thrombosis or occlusion","Without (Head Only), CTV(Head Only or Head & Neck), 5min Post (Head Only)","Slightly delayed CTA protocol, otherwise similar to stroke deluxe. The standard stroke CTA exam is often reasonable for CTV evaluation."
56,Stereotactic Head,1.1,Stereotactic guidance imaging for use in the Operating Room.,Without,"This is a protocol which delivers thin section images for use in whole brain radiation treatment planning, intraoperative neuronavigation, and cranioplasty planning. Image requirements for the software associated with these uses varies, and verification of compatibility is recommended."
57,Orbit - Routine,2.1,"Orbital Mass, Foreign Body, Trauma, proptosis, Orbital proptosis (without) Periorbital cellulitis (With)",Without and/or With,"For evaluation of infection, inflammatory, or neoplastic processes may add contrast as needed to increase sensitivity. May also be used for trauma, blunt or penetrating, localized to the orbit."
58,Facial Trauma Routine,2.5,"Facial Trauma / Reconstruction (blunt or penetrating), Maxillo-facial surgery follow-up (Without) facial infections or inflammation, as well as assessment of congenital abnormalities (With)",Without and/or With,"Contrast may be added for sensitivity, particularly in infection, as warranted. 3D reconstructions may be performed if requested by clinical service."
59,Pituitary Gland and Cavernous Sinus,2.6,"Pituitary Macroadenoma, Pituitary Mass, Hypogonadism, Hyperprolactinemia, Cavernous sinus mass, suprasellar mass",Without(Head Only)60sec Delay(limited coverage)5min Post(Head Only),MRI is preferred. Evaluating for differentially enhancing mass in the sella turcica.
60,Sinuses-Diagnostic,2.7,"Rhinosinusitis, Sinusitis, Nasal Dis-charge, Facial pain, Sinus surgery planning. If the indication is for pre-transplant workup-please be sure to include the mandible.",Without and/or With,Low dose exam suitable for the majority of patients. Those with detailed neuronavigation needs may need stereotactic CT performed.
61,Temporal Bone,2.11,"Hearing loss, conductive hearing loss, sensorineural hearing loss, otitis, otalgia, temporal bone fracture, congenital abnormalities. Contrast may be added as needed for infection, neoplasms, mastoiditis, abscess, intracranial spread, venous thrombosis, otitis externa.",Without and/or With,"Used in conjunction with MRI to evaluate neoplasms typically un-less contraindication to MRI. This protocol adds contrast to the standard CT temporal bone, for use in cases of inflammation /infection or concern for sigmoid sinus compromise. This protocol is also used for cases in which there is a concern for a cerebellopontine angle mass causing sensorineural hearing loss."
62,DentaScan,2.13,"Mandibular/facial trauma, dental imaging, preparation for or after alveolar bone grafting, orthognathic surgery planning, but can also be used for Facial Feminization Surgery (FFS) in patients with gender dysphoria.",Without,Low Dose scan of Maxilla and Mandible. This exam is meant to replace a diagnostic Panorex X-ray.
63,Stereotactic Sinus (Stryker/Lorenz),2.15,"Order for Lorenz, Stryker Cranial, and or ENT navigation, Skull base masses, detailed sinus surgery, CSF leak",Without,For those patients in whom accurate neuronavigation is critical.
64,Adult Neck-Routine,3.1/3.2/3.3,"Head and neck cancer(pre and post treatment), infection, soft tissue trauma, Neck mass, globous sensation, lymphadenopathy, pharyngitis, tonsillar or peritonsillar abscess, neck abscess. GSI Coverage: Limited Neck Series dependent on patient head/neck cancer",Split bolus protocol over a 110 seconds,High quality neck examination. Timing optimized for head and neck cancer enhancement.
65,Adult Neck- Optional Limited Dual Energy series,3.1/3.2/3.3,"The Limited Dual Energy Series will be indicated for new diagnosis of head or neck cancer, as well as to evaluate for recurrence of head and neck cancers post treatment.",To follow Adult Routine Neck,"Requested by Radiologist with specification of limited coverage: Nasopharynx, Oropharynx, Larynx"
66,Neck (Parathyroid Adenoma),3.4/3.5/3.6,"Hypercalcemia, parathyroid adenoma(suspected or confirmed), and parathyroid surgical planning.","Limited Without, Arterial (Lower Neck), Venous (Lower Neck)",On early arterial and delayed contrast enhanced images the enhancement of parathyroid adenomas can be confused with the intrinsically CT hyperdense thyroid gland. This protocol includes an additional non contrast phase to enable more confident detection and discrimination of parathyroid adenomas from the adjacent thyroid tissue
67,Brachial Plexus-Routine,3.1/3.2/3.3,"Brachial neuropathy, arm weakness/pain, brachial plexopathy",Split bolus protocol over a 110 seconds,Extra reformat Parallel to the subclavian artery on the side of interest.
68,Neck (Salivary Gland),3.8/3.9/3.10,"Salivary gland swelling, Sialadenitis, Sialolith",Limited Without 110 sec Delay,Limited without – likely not needed in most circumstances. Use only at radiologist request.
69,CTA Neck Only,3.11,"Assessment of atherosclerotic disease, trauma with suspected vascular injury, or vascular neoplasms.",Arterial,Standard CTA timing. Low KV exam to optimize density of iodine in the vessels.
70,Neck (Hypervascular Papillary Thyroid),3.13/3.14/3.15,"Hypervascular tumor, especially concern for papillary thyroid cancer metastasis",Arterial and Venous(immediately following Arterial),Optimized for the hypervascular enhancement of papillary thyroid metastasis. Early arterial and delayed phase.
71,Cervical Spine,3.16/3.17/3.18,"For evaluation of spine trauma, pain, cervical stenosis, evaluate fixation hardware, degenerative disease, infection, and bone tumors, fracture, radiculopathy.",Without and/or With,Most commonly utilized for trauma evaluation
72,Thoracic Spine,7.4/7.5/7.6,"For evaluation of spine trauma, pain, cervical stenosis, evaluate fixation hardware, degenerative disease, infection, and bone tumors, fracture, radiculopathy.",Without and/or With,Most commonly utilized for trauma evaluation
73,Lumbar Spine,7.1/7.2/7.3,"For evaluation of spine trauma, pain, cervical stenosis, evaluate fixation hardware, degenerative disease, infection, and bone tumors, fracture, radiculopathy.",Without and/or With,Most commonly utilized for trauma evaluation
74,Stereotactic Spine,7.8,Surgical planning,Without,"Surgical planning CT with thin, nonoverlapping images. May do limited FOV at surgeons request."
75,Chest - (Routine and HiRes) Without Contrast,5.1/5.2/5.3,"Evaluate mediastinal abnormality, lung cancer, lymphoma, esophageal, carcinoma, metastases, empyema, pleural effusion, lung nodules, pectus, excavatum and chest wall lesion lung, donor, LVAD, Pre CABG work-up",Inspiration Without,"This protocol is designed to address nearly all indications for chest CT while maintaining very low radiation exposure levels. It includes detailed information on the lungs, airways, and soft tissues. High-resolution images for evaluating the lungs are a central part of this protocol, avoiding the need to rescan patients who have diffuse lung disease. Although intravenous contrast material can be administered at the discretion of the protocolling radiologist, however for the majority of indications, contrast is not needed."
76,Chest - (Routine and HiRes) With Additional Expiratory images,5.1/5.2/5.3,Lung transplant recipient (which should include dedicated expiratory images).,Inspiration & Expiration,"This protocol is designed to address nearly all indications for chest CT while maintaining very low radiation exposure levels. It includes detailed information on the lungs, airways, and soft tissues. High-resolution images for evaluating the lungs are a central part of this protocol, avoiding the need to rescan patients who have diffuse lung disease. Although intravenous contrast material can be administered at the discretion of the protocolling radiologist, however for the majority of indications, contrast is not needed."
77,Chest - (Routine and HiRes) WITH contrast,5.1/5.2/5.3,"Pulmonary Arteries, Vascular structures",Inspiration With,"This protocol is designed to address nearly all indications for chest CT while maintaining very low radiation exposure levels. It includes detailed information on the lungs, airways, and soft tissues. High-resolution images for evaluating the lungs are a central part of this protocol, avoiding the need to rescan patients who have diffuse lung disease. Although intravenous contrast material can be administered at the discretion of the protocolling radiologist, however for the majority of indications, contrast is not needed."
78,Chest - Low Dose Follow-Up/Screening,5.10/5.11/5.12,"Patients under 70-years-old for follow-up of: lung nodule(s), lymphadenopathy or pleural collection.",Without or With IV contrast as protocolled,"This protocol was designed for follow-up of nodules, pleural effusions, and other abnormalities using significantly lower dose than the standard CT. For nearly all patients, the effective dose will be below 3 mSv, typically in the 1 - 2 mSv range. This protocol is also designed to be used for lung cancer screening. It meets the technical standards put forth by the American College of Radiology and the Centers for Medicare and Medicaid Services (CMS)."
79,Chest - CTPA for PE,5.16/5.17/5.18,Known or suspected pulmonary embolism. Acute or chronic PE Double rule-out (PE and aortic dissection). After AVM embolization.,CTA,"This protocol is nearly identical to the routine chest CT protocol, and reconstructed axial images are identical. Multiplanar MIPs are included to meet CPT code requirements. The contrast injection protocol is designed to limit the number of bolus failures and maximize opacification of the pulmonary vasculature."
80,Chest-Esophagram - Routine,5.51/5.52/5.53,Eval for an esophageal rupture and patients with pneumomediastinum to eval for esophageal trauma.,Inspiration Without (With Oral),This protocol is designed to detect esophageal injuries or leaks after surgery. The routine protocol does not include a pre- oral contrast acquisition.
81,Chest-Esophagram - Post Op,5.51/5.52/5.53,Eval for leak in patients who are post- esophagectomy. Includes a without series prior to any oral contrast.,Inspiration Without (no oral) & Inspiration Without (with Oral),This protocol is designed to detect esophageal injuries or leaks after surgery. The post-op includes a pre - oral contrast acquisition to help distinguish surgical material from contrast
82,Chest - Dynamic 3D Airway,5.70/5.71/5.72,"To evaluate for tracheo(broncho) malacia and dynamic airway collapse (be sure to have technologist check expiratory images with radiologist before patient gets off table). Airway stenosis, tumor, tracheo(broncho)malacia.",Inspiration & FORCED Expiratory,"This protocol is designed to evaluate the central airways, particularly to assess for tracheobronchomalacia or excessive dynamic airway collapse. In addition to standard high-resolution mages of the lungs, the forced expiratory images accentuate collapsibility of the trachea and central bronchi. This protocol includes additional reformations including minimum intensity projections (MinIPs) and optional 3-D virtual bronchoscopic images, which referring providers might find informative. For patients who have a recent volumetric thin section CT of the chest, the expiratory sequence of this protocol performed alone may be sufficient, minimizing additional radiation exposure. Because the breathing technique is different than traditional end-expiratory chest"
83,Shoulder/Humerus (with or without metal),4.1/4.2/4.3,"Evaluation of fractures of the scapula and/or proximal humerus, glenohumeral or acromioclavicular joint dislocations, arthritis, bone lesions, and bone surrounding metallic prostheses and other implants. CT arthrogram of the glenohumeral joint is to evaluate the rotator cuff and labrum in a patient who cannot have MR.",Without and/or With (90 sec Delay),
84,GSI Gout Upper Extremity,4.4,"Patients with gout, GSI/Dual Energy CT of the hand, elbow or upper extremity to evaluate for the presence of uric acid deposits (tophus). In the event that the patient is unable to reach their arm above their head, please select the GSI GOUT SPINE protocol as it will offer enough dose to penetrate through the torso.",Without,
